Field,Experience,Location,Company Size,Salary,Job Requirements,URL
IT - Phần mềm,3 năm,Hồ Chí Minh,100-499 nhân viên,20 - 40 triệu,"Yêu cầu ứng viên
Bachelor's Degree in Computer Science/Information Technology or relevant fields.
From 3 - 7 years of hands-on experience in using Java to design and develop WEB applications.
Upper-intermediate English is a must, including 4 skills: reading, writing, speaking and listening (able to work in English-speaking environment).
Experience working with relational databases (MySQL, PostgreSQL, MS SQL) and NoSQL (MongoDB, Redis, Cassandra). Proficient in ORM (JPA, Hibernate), query optimization, and managing cloud databases (AWS RDS, Google Cloud SQL). Skilled in schema migration (Flyway, Liquibase) and performance tuning (HikariCP, replication, partitioning, backup & recovery).
Proficient in developing RESTful APIs using Spring Boot or JVM languages (Kotlin, Scala). Skilled in caching, authentication (JWT, OAuth2, Keycloak), and third-party integrations. Experienced in API documentation (Swagger/OpenAPI), reactive libraries (Feign, RestTemplate, WebClient), and API gateways (Kong, Zuul, Spring Cloud Gateway).
Experience deploying and monitoring in cloud environments with Docker, Kubernetes, and CI/CD. Familiar with Git and SVN.
Strong analytical and problem-solving abilities;
Experienced in ERP/CRM functional development and selecting suitable tech solutions for scalable, high-performance systems",https://www.topcv.vn/viec-lam/backend-engineer-java-mysql-spring/1690799.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443764
IT - Phần mềm,3 năm,Hà Nội,3000+ nhân viên,Thoả thuận,"Yêu cầu ứng viên
Required:
Bachelor's degree in Banking or Finance from a reputable university such as Foreign Trade University, National Economics University, Banking Academy, or Finance Academy.
Minimum of 3 years of working experience in a credit or digital banking department at a top-bank, or 2 years of working experience as a Product Manager/Sales Manager at a B2B product company.
Excellent communication and teamwork skills, strong persuasion, negotiation, and problem - solving abilities.
Ability to research, synthesize, analyze, and evaluate the market and customers to identify directions and make product development plans.
Ability to plan and manage work and time effectively.
Preferred:
Master's degree in Business Administration (MBA), preferably from a prestigious university in the UK, US, Australia, or other Western countries.
International certifications in Product Management and UX Design.
Working experience in fintech companies.
Knowledge of Design Thinking and Customer Centric.
Basic knowledge of software design (UI, UX)",https://www.topcv.vn/viec-lam/product-manager-product-owner-lending-product/1687717.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443764
Bán lẻ - Hàng tiêu dùng - FMCG,2 năm,Hồ Chí Minh,100-499 nhân viên,12 - 15 triệu,"Yêu cầu ứng viên
Kinh nghiệm thực tế làm từ 2 năm (gửi kèm portfolio)
Ưu tiên ứng viên chuyên ngành thiết kế đồ họa/hình ảnh
Thành thạo các công cụ thiết kế Photoshop, Illustrator, Adobe After Effect , Adobe premiere",https://www.topcv.vn/viec-lam/graphic-designer-thu-nhap-12-trieu-15-trieu-di-lam-ngay/1668012.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443764
IT - Phần mềm,1 năm,Đà Nẵng & 2 nơi khác,100-499 nhân viên,Thoả thuận,"Yêu cầu ứng viên
Attitude
● Highly motivated to learn and grow
● Open-minded and willing to explore new methods
● Client-oriented mindset with empathy for the user’s perspective
● Strong sense of teamwork and collaboration
Skills
● Japanese language proficiency: N2 or higher (speaking, reading, writing)
● Basic understanding of front-end or back-end development
● Project management skills (planning, execution, coordination)
● Strong schedule and progress management skills
● Analytical skills for both business and system requirements
Knowledge
● Basic knowledge of software development processes
● Ability to analyze system and business requirements
Experience
● Lived in Japan for over 1 year
● Minimum 2 years of working experience as a BrSE or IT Communicator",https://www.topcv.vn/viec-lam/it-comtor-n2-jlpt-da-nang-ha-noi-ho-chi-minh/1684484.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443764
IT - Phần mềm,2 năm,Hà Nội,100-499 nhân viên,Thoả thuận,"Yêu cầu ứng viên
i. Kinh nghiệm Telesales/Telemarketing cấp cao
- Tối thiểu 2 – 3 năm làm telesales, ưu tiên từng giữ vị trí Trưởng nhóm/Trưởng phòng hoặc tương đương.
- Thành tích vượt KPI hoặc top sales nhiều tháng liên tiếp.
ii. Tư duy “chất lượng hơn số lượng”
- Khả năng phân tích hồ sơ, gọi ít nhưng hiệu quả, tạo ấn tượng mạnh cho ứng viên.
- Giỏi lắng nghe và thấu hiểu nhu cầu, mục tiêu nghề nghiệp của ứng viên.
iii. Kỹ năng giao tiếp & xử lý tình huống xuất sắc
- Xử lý phản đối và tư vấn ở cấp độ cao, biết cách tạo niềm tin và duy trì đối thoại tích cực.
- Khả năng “bán giá trị” của công việc, văn hóa doanh nghiệp, thay vì “chốt ép”.
iv. Kỹ năng quản lý dữ liệu & tư duy chiến lược
- Thành thạo CRM/ATS để lưu trữ, theo dõi thông tin ứng viên.
- Sẵn sàng đề xuất cải tiến kịch bản gọi, quy trình tuyển dụng, tối ưu hóa pipeline.
v. Phẩm chất & thái độ
- Chủ động, kỷ luật, chịu trách nhiệm với kết quả cá nhân (theo kiểu “Trưởng phòng 1 người”).
- Hợp tác chặt chẽ với team HR, sẵn sàng hỗ trợ đồng đội khi cần.",https://www.topcv.vn/viec-lam/chuyen-vien-telesales/1644077.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443764
IT - Phần mềm,1 năm,Hồ Chí Minh,500-1000 nhân viên,Thoả thuận,"Yêu cầu ứng viên
At least 1 year of experience at the same field.
Bachelor’s Degree or above in Electronic Engineering, Telecommunication, Computer Science, Computer Engineering, Automation, Information Technology or equivalent.
Strong proficiency with C/C++.
Experience with firmware/driver programming/debugging.
Proficiency with Linux OS, FreeRTOS, Linux kernel.
Familiar with BSP.
Familiar with Scripting language, Multimedia frameworks & Audio/Video codec, Graphics libraries and Image processing, HW manual & Schematics reading.
Capable of reading and understanding MCU/SOC hardware manual.
Leading skill, Teamwork skill, Investigation skill, Self-control.
Web-Platform (HTML5, Firefox, Gecko).
Fluent in both written and spoken English.",https://www.topcv.vn/viec-lam/embedded-linux-engineer/1687660.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443764
IT - Phần mềm,Dưới 1 năm,Hà Nội,25-99 nhân viên,8 - 15 triệu,"Yêu cầu ứng viên
- Tốt nghiệp đại học chuyên ngành KHMT, CNTT
- Có kinh nghiệm trong lĩnh vực kiểm thử phần mềm
- Thành thạo các công cụ kiểm thử: Selenium, Postman, Jmeter, Rest assured, TestNG hoặc tương tự.
- Kiến thức về CI/CD, GIT.
- Hiểu biết quy trình phát triển phần mềm, các phương pháp kiểm thử
- Kỹ năng phân tích thiết kế tốt.
- Khả năng viết báo cáo lỗi, tài liệu nghiệp vụ, tài liệu HDSD.
- Kỹ năng giao tiếp và làm việc nhóm tốt
Ưu tiên :
- Có kinh nghiệm kiểm thử phần mềm quản lý/ quản trị doanh nghiệp
- Có chứng chỉ về kiểm thử phần mềm
- Có kinh nghiệm kiểm thử tự động",https://www.topcv.vn/viec-lam/nhan-vien-tester/1667385.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443764
Sản xuất,1 năm,Hà Nội,100-499 nhân viên,12 - 15 triệu,"Yêu cầu ứng viên
- Chăm chỉ, chịu được áp lực cao
- Có khả năng sáng tạo tốt
- Sử dụng thành tạo tối thiểu 2 phần mềm Photoshop và Illustrator
- Biết quay phim, chụp ảnh là một lợi thế
- Biết dựng clip là một lợi thế",https://www.topcv.vn/viec-lam/graphic-designer-luong-12-15-trieu-tai-ha-noi/1672050.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443764
IT - Phần mềm,1 năm,Hà Nội,10-24 nhân viên,Thoả thuận,"Yêu cầu ứng viên
- Bằng cấp: Đại học/Cao Đẳng
- Có kinh nghiệm tối thiểu 1 năm kinh doanh giải pháp tại các công ty CNTT
- Có kinh nghiệm xử lý thành công tối thiểu 1 deal giải pháp
- Có kinh nghiệm làm việc, triển khai giải pháp với khách hàng doanh nghiệp, ưu tiên khách hàng lớn thuộc khối ngân hàng, tài chính, bảo hiểm, các tập đoàn lớn,...
- Kỹ năng giao tiếp
- Kỹ năng tiếng Anh cơ bản.",https://www.topcv.vn/viec-lam/chuyen-vien-kinh-doanh-giai-phap-cntt-thu-nhap-cb-20-25-trieu-thuong/1642692.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443764
Bán lẻ - Hàng tiêu dùng - FMCG,2 năm,Hồ Chí Minh,25-99 nhân viên,12 - 17 triệu,"Yêu cầu ứng viên
• Bachelor’s degree in related field.
• Experienced in graphic production software (Adobe Photoshop, Illustrator, Premiere - Edit video + Photography is plus advantaged, etc...)
• Packaging and printing experience
• 2+ years’ professional work experience in a similar position
• Knowledge about creating animated images or video editing is a plus
• Knowledge of taking product pictures
• Accuracy and attention to detail
• Excellent time management and organisational skills
• Strong creative thinking, concept development skills, and a keen eye for aesthetics.
• Good teamwork, and task management abilities.
• Proficiency in English communication.
• Only applicants who submit a CV along with a Portfolio of previous works will be considered.",https://www.topcv.vn/viec-lam/graphic-designer/1672434.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443764
Thương mại điện tử,3 năm,Hà Nội,100-499 nhân viên,"Tới 55,000 USD","Yêu cầu ứng viên
Educational Background: Bachelor's degree preferred in Data Science, Computer Science, Mathematics, Statistics, or a related field.
Professional Experience: At least 3 years working in a DA role
Technical Proficiency: Expertise in SQL, Python and BI tools, along with a strong understanding of data modeling, data warehousing, and real-time data monitoring. Familiarity with cloud technologies and DevOps practices is essential.
Database Management: Understanding the principles of database management and being able to perform exploratory data analysis is essential.
Analytical Skills: Strong ability to analyze datasets and utilize data visualization techniques to derive meaningful insights.
Communication Skills: Strong verbal and written communication skills, capable of presenting data insights clearly and contributing to decision-making processes.
Innovative Thinking: Ability to keep pace with industry trends in data analytics methodologies and tools, applying this knowledge to drive the business forward.
English proficiency
Preferred (but not required)
Machine Learning Techniques: Familiarity with machine learning algorithms and their applications in data analysis.
Big Data Platforms: Experience with big data technologies such as Hadoop and Spark for handling large datasets.
Programming Proficiency: Skilled in programming languages like Python and R for data analysis and automation tasks.
Familiarity with the Agile toolset, such as Gitlab, Jira, Confluence, and Slack.",https://www.topcv.vn/viec-lam/data-analyst-intermediate-senior-storefront-ecommerce-platform-total-annual-compensation-55-000/1687860.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443764
IT - Phần mềm,Dưới 1 năm,Hồ Chí Minh,100-499 nhân viên,15 - 50 triệu,"Yêu cầu ứng viên
Độ tuổi từ 23 - 30 tuổi và có đam mê ngành Công nghệ.
Có máy tính xách tay để làm việc.
Ưu tiên có kinh nghiệm sales B2C hoặc B2B,...
Ưu tiên các ứng viên có kinh nghiệm trong các Công ty kinh doanh thương mại, điện tử, phần mềm, CNTT hoặc các ngành bán lẻ,...",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-sales-b2b-nhan-vien-tu-van-thu-nhap-15-40-trieu-nghi-thu-7-va-chu-nhat-di-lam-ngay-ho-chi-minh/1677395.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443764
IT - Phần mềm,2 năm,Hà Nội,10-24 nhân viên,20 - 25 triệu,"Yêu cầu ứng viên
- Lập trình viên Go (Golang) từ 2 năm kinh nghiệm
- Kiến thức vững về hệ thống phân tán, cơ sở dữ liệu (SQL và NoSQL).
- Hiểu biết về API RESTful, Microservices.
- Kinh nghiệm làm việc với các công cụ quản lý phiên bản (Git).
- Kinh nghiệm phát triển ứng dụng trên môi trường Cloud.
- Kỹ năng giải quyết vấn đề và tư duy logic tốt.
- Khả năng làm việc độc lập và phối hợp đội nhóm tốt, quản lý thời gian tốt, tác phong làm việc chủ động, linh hoạt
Ưu tiên:
- Kinh nghiệm làm việc với Docker, Kubernetes.
- Hiểu biết về các công nghệ liên quan như kafka, redis, gRPC.
- Kinh nghiệm với CI/CD, kiểm thử tự động.",https://www.topcv.vn/viec-lam/lap-trinh-vien-backend-developer-golang-tu-2-nam-kinh-nghiem-thu-nhap-20-25-trieu-thang/1686714.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443764
IT - Phần mềm,Dưới 1 năm,"Hồ Chí Minh, Hà Nội",100-499 nhân viên,11 - 13 triệu,"Yêu cầu ứng viên
Trình độ: Tốt nghiệp cao đẳng trở lên, ưu tiên các ngành Kinh doanh, Quản trị kinh doanh, Marketing hoặc các ngành liên quan.
Kinh nghiệm:
Kinh nghiệm B2B: Tối thiểu 6 tháng đến 1 năm kinh nghiệm trong lĩnh vực bán hàng B2B, đặc biệt trong lĩnh vực SMB.
Kỹ năng:
Kỹ năng tư vấn và bán hàng: Khả năng thuyết phục và tư vấn khách hàng về các sản phẩm và dịch vụ.
Kỹ năng giao tiếp: Kỹ năng giao tiếp tốt, có khả năng lắng nghe và hiểu nhu cầu của khách hàng.
Kỹ năng quản lý thời gian: Khả năng tổ chức công việc và quản lý thời gian hiệu quả.
Phẩm chất cá nhân:
Chủ động: Chủ động trong công việc, tìm kiếm và phát triển cơ hội kinh doanh.
Tinh thần trách nhiệm: Có trách nhiệm cao với công việc và khách hàng.
Thân thiện: Thân thiện, hòa đồng và dễ tiếp cận với khách hàng.",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh/1689043.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443764
Khác,2 năm,Hưng Yên,100-499 nhân viên,Thoả thuận,"Yêu cầu ứng viên
Có ít nhất 2 năm kinh nghiệm vận hành hệ thống ( SAP, ERP, T100...)
Tốt nghiệp đại học/cao đẳng chuyên ngành CNTT, điện tử viễn thông hoặc tương đương
Kiến thức chuyên sâu về hệ thống về hệ thống SAP ERP
Ứng viên có kinh nghiệm lập trình ABAP, có kinh nghiệm BASIC
Có kinh nghiệm làm việc, triển khai các dự án ERP trong lĩnh vực y tế
Đọc hiểu giao tiếp tiến anh tốt.",https://www.topcv.vn/viec-lam/chuyen-vien-he-thong-erp-dingtalk/1679561.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443764
IT - Phần mềm,3 năm,Hồ Chí Minh,25-99 nhân viên,Từ 16 triệu,"Yêu cầu ứng viên
Tối thiểu 3 năm kinh nghiệm làm việc trong lĩnh vực thiết kế 2D game hoặc tương đương.
Có portfolio thể hiện sản phẩm đã từng tham gia.
Thành thạo ít nhất một phần mềm vẽ như Photoshop, Illustrator,…
Có kiến thức tốt về màu sắc, ánh sáng, bố cục, hình khối và phong cách nghệ thuật.
Ưu tiên ứng viên có kinh nghiệm với mobile game, đặc biệt là các dòng casual, RPG, hoặc idle game.
Có khả năng thích nghi nhanh với phong cách nghệ thuật mới và linh hoạt theo yêu cầu dự án.
Kỹ năng giao tiếp tốt, tinh thần học hỏi, trách nhiệm với công việc.
Biết sử dụng Spine, After Effects hoặc các phần mềm animation là lợi thế.
Có kinh nghiệm làm việc trong môi trường Agile / Scrum.
Biết vẽ concept art từ brief đơn giản.
Có tư duy sản phẩm và hiểu hành vi người dùng.",https://www.topcv.vn/viec-lam/2d-game-artist/1687263.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443764
IT - Phần mềm,1 năm,Hà Nội,10-24 nhân viên,10 - 20 triệu,"Yêu cầu ứng viên
Số năm kinh nghiệm: 1 năm làm việc tại các vị trí hỗ trợ kỹ thuật (Ưu tiên các ứng viên có kinh nghiệm)
Có kiến thức về network, các thiết bị mạng, hệ điều hành Windows và Linux.
Yêu cầu bằng cấp: Đại học/ Cao đẳng chuyên ngành Công nghệ thông tin, điện tử viễn thông
Yêu cầu độ tuổi: Từ 22 tuổi đến 30 tuổi
Giới tính: Nam
Yêu cầu khác:
- Khả năng làm việc tập trung cao
- Có khả năng làm việc độc lập, theo nhóm.
- Có khả năng giao tiếp tốt và tự tin.
- Tin học văn phòng: cơ bản
- Tiếng Anh tốt là một lợi thế.",https://www.topcv.vn/viec-lam/nhan-vien-ho-tro-ky-thuat-customer-support-muc-luong-10-20-trieu/1683893.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443764
Bất động sản,4 năm,Hà Nội,100-499 nhân viên,20 - 30 triệu,"Yêu cầu ứng viên
Yêu cầu có Kinh nghiệm làm trong BĐS
a. Học vấn & Kinh nghiệm
- Tốt nghiệp Đại học trở lên chuyên ngành CNTT, Khoa học Máy tính, hoặc lĩnh vực liên quan.
- 5+ năm kinh nghiệm quản lý CNTT, ưu tiên ngành bất động sản/tài chính.
- Am hiểu về PropTech, hệ thống ERP, CRM (Salesforce, HubSpot), phần mềm quản lý dự án (Jira, Basecamp).
b. Kỹ năng
- Kỹ năng lãnh đạo, giao tiếp đa bộ phận.
- Tư duy chiến lược, phân tích dữ liệu (SQL, BI tools).
- Kiến thức về AI, IoT, Blockchain (ưu tiên).",https://www.topcv.vn/viec-lam/truong-phong-cong-nghe-chief-technology-officer-cto-it-manager/1683810.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443764
Marketing / Truyền thông / Quảng cáo,Không yêu cầu,Hà Nội,100-499 nhân viên,10 - 15 triệu,"Yêu cầu ứng viên
Các bạn học viên/sinh viên đã hoàn thành chương trình học và có thể đi làm fulltime giờ hành chính (chấp nhận chờ bằng)
Nắm được 12 nguyên tắc diễn hoạt cơ bản
Biết sử dụng công cụ Maya Autodesk, có thể thiết kế được những chuyển động cơ bản cho nhân vật
Chăm chỉ, cẩn thận, kiên trì
Chủ động, có tinh thần cầu tiến",https://www.topcv.vn/viec-lam/hoc-viec-thuc-tap-sinh-3d-animation-thu-nhap-10-15-trieu/1680959.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443764
Tài chính,3 năm,Hồ Chí Minh,25-99 nhân viên,Thoả thuận,"Yêu cầu ứng viên
 At least 3 years of experience in UX/UI design, preferably in Fintech Remittance.
 Proficiency in Figma (Auto Layout, Components, Prototyping).
 Ability to build and maintain a design system.
 Familiarity with user research & usability testing methodologies.
 Graphic design skills (icons, illustrations, branding).
 Experience working in an Agile/Scrum development process.
 Ability to communicate and present in English.
Nice-to-have:
 Experience in motion design, and animations for UI.
 Familiarity with front-end concepts (HTML, CSS, React).
 Knowledge of financial regulations related to remittance UX/UI.
Bonus Skills:
 Experience in branding & marketing visuals.
 Understanding of cross-border payment UX challenges.",https://www.topcv.vn/viec-lam/ux-ui-designer-fintech-remittance/1675599.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443764
Ngân hàng,Không yêu cầu,Hà Nội & 3 nơi khác,1000+ nhân viên,Thoả thuận,"Yêu cầu ứng viên
Tốt nghiệp Cao đẳng trở lên chuyên ngành: Ngân hàng, tài chính, kế toán và kinh tế,...;
Nắm vững những kiến thức cơ bản về tín dụng ngân hàng;
Kiến thức cơ bản về Luật và các quy định, quy chế, thông tư hướng dẫn của Ngân hàng Nhà Nước;
Kỹ năng thuyết trình, giao tiếp;
Hiểu biết thị trường tài chính tiền tệ;
Nhanh nhẹn, có khả năng xây dựng và duy trì quan hệ tốt với khách hàng;
Ưu tiên ứng viên có kinh nghiệm tại các: Ngân hàng, tổ chức tài chính, bảo hiểm, chứng khoán...",https://www.topcv.vn/viec-lam/chuyen-vien-cao-cap-khach-hang-ca-nhan-lao-cai-bac-ninh-ha-noi-hai-phong-thu-nhap-cao-nhieu-dai-ngo-hap-dan/1688393.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443768
Ngân hàng,1 năm,Hà Nội & 3 nơi khác,1000+ nhân viên,Thoả thuận,"Yêu cầu ứng viên
- Trình độ: tốt nghiệp Cao đẳng trở lên, ưu tiên các chuyên ngành Kinh tế, Tài chính, Ngân hàng, Quản trị kinh doanh, Thương mại và các ngành khác liên quan.
- Kinh nghiệm: Tối thiểu 01 năm kinh nghiệm làm việc tại vị trí tuyển dụng
- Kiến thức liên quan đến các hoạt động nghiệp vụ tài chính ngân hàng
- Kỹ năng: bán hàng, chăm sóc khách hàng, phân tích và xử lý vấn đề, giao tiếp tốt.",https://www.topcv.vn/viec-lam/chuyen-vien-chuyen-vien-cao-cap-qhkh-ca-nhan-doanh-nghiep/1660741.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443768
IT - Phần mềm,1 năm,Hà Nội,100-499 nhân viên,Từ 10 triệu,"Yêu cầu ứng viên
- Tốt nghiệp CĐ/ ĐH trở lên các chuyên ngành Kinh tế, Thương mại, Ngoại ngữ, Du lịch
- Kinh nghiệm từ 1 năm trở lên về lĩnh vực kinh doanh
- Giao tiếp tốt tiếng Anh và tiếng Việt
- Yêu cầu đặc thù : Có kinh nghiệm hàng không
- Trung thực, trách nhiệm, chịu được áp lực và cường độ làm việc cao, sẵn sàng làm việc ngoài giờ và đi công tác, đam mê với nghề",https://www.topcv.vn/viec-lam/chuyen-vien-phat-trien-khach-hang-doanh-nghiep-luong-cung-tu-8-10-trieu-hoa-hong-tai-ha-noi/1676405.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443768
Tài chính,Không yêu cầu,Thái Nguyên & 2 nơi khác,5000+ nhân viên,8 - 15 triệu,"Yêu cầu ứng viên
- Có kỹ năng giao tiếp, thuyết phục khách hàng, làm việc nhóm
- Tính cách trung thực, luôn coi khách hàng là trọng tâm, có trách nhiệm với công việc
- Sử dụng tin học văn phòng",https://www.topcv.vn/viec-lam/chuyen-vien-kinh-doanh-sales-tu-van-vien-thu-nhap-upto-15-trieu-lam-viec-tai-cac-phong-giao-dich/1659576.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443768
Bảo hiểm,Không yêu cầu,Hồ Chí Minh,25-99 nhân viên,Thoả thuận,"Yêu cầu ứng viên
Không yêu cầu kinh nghiệm, hỗ trợ đào tạo
Độ tuổi 25 tuổi trở lên
Nhiệt tình, năng động, nhạy bén",https://www.topcv.vn/viec-lam/chuyen-vien-tu-van-bao-hiem-part-time-thu-nhap-tu-25-trieu-tro-len-dac-biet-thuong-tuyen-dung-1-trieu-nguoi/1673111.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443768
Kế toán / Kiểm toán,Dưới 1 năm,Hà Nội,100-499 nhân viên,7 - 20 triệu,"Yêu cầu ứng viên
Yêu thích và có đam mê với Tài chính kinh tế, Forex, Bitcoin.
Xác định rõ ràng động cơ kiếm tiền của bản thân và muốn thăng tiến lên các vị trí như Leader, trưởng phòng.
Có tinh thần xây dựng đội nhóm
Có kinh nghiệm đầu tư chứng khoán, forex, bitcoin hoặc là đã từng làm các mảng liên quan đến Sales là một lợi thế, ưu tiên những bạn đã và đang làm CTV từ các công ty chứng khoán khác đang có nhu cầu muốn chuyển môi trường để phát triển tốt hơn.
Có LAPTOP cá nhân
Thái độ chủ động, có trách nhiệm trong công việc
Ưu tiên ứng viên: Nam",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-chung-khoan-uu-tien-nam-co-kinh-nghiem-thu-nhap-len-den-25-trieu/1635919.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443768
Ngân hàng,Không yêu cầu,Hà Nội,500-1000 nhân viên,8 - 20 triệu,"Yêu cầu ứng viên
Độ tuổi từ 18 - 28 tuổi
Năng động, cầu tiến
Không đòi hỏi kinh nghiệm, ngoại hình
Ứng viên có kinh nghiệm về bán hàng/ kinh doanh/ tư vấn là lợi thế.
Giọng nói nhẹ nhàng, rõ ràng
Ưu tiên ứng viên nộp CV sớm, có thể đi làm ngay.",https://www.topcv.vn/viec-lam/nhan-vien-tu-van-data-co-san-lam-viec-tai-van-phong-ha-noi-thu-nhap-tu-8-20-trieu-thang/1691055.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443768
Bảo hiểm,3 năm,Phú Thọ,100-499 nhân viên,20 - 30 triệu,"Yêu cầu ứng viên
– Tốt nghiệp từ Cao đẳng trở lên
– Có trên 3 năm kinh nghiệm làm việc trong lĩnh vực bán hàng qua điện thoại sản phẩm tài chính, bảo hiểm phi nhân thọ
– Hiểu biết về các sản phẩm và dịch vụ tài chính, phi nhân thọ
- Có kinh nghiệm quản lý đội nhóm tối thiểu 50 nhân sự

KỸ NĂNG
– Kỹ năng giao tiếp thuyết phục
– Kỹ năng giao tiếp ứng xử và tạo lập mối quan hệ; kiên định hướng đến mục tiêu
– Chính trực & trung thực
– Kỹ năng lãnh đạo, phân tích
– Khả năng làm việc dưới áp lực cao
– Thành thạo phần mềm Microsoft Office",https://www.topcv.vn/viec-lam/truong-phong-kinh-doanh-supervisor-03-nam-kinh-nghiem-thu-nhap-up-to-30m-di-lam-ngay-tai-tp-viet-tri-phu-tho-khong-ap-kpi/1645367.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443768
